Messages,Free entropy density,density,entropy density,stability,physical
"[[9.819771039851407e-05, 0.9999018007718913], [1.5177100732173172e-09, 2.405407149169128e-26]]",-10.23854270568237,9.683452817289412e-57,-10.23854270568237,False,True
"[[0.00010978777698717471, 0.9998902103258751], [1.8971375915216464e-09, 3.0067589364613585e-26]]",-10.12696514788992,1.0826481637009255e-56,-10.12696514788992,False,True
"[[0.00012274571515166955, 0.9998772519134262], [2.371421989402058e-09, 3.7584486705766407e-26]]",-10.015386907579575,1.2104439773059924e-56,-10.015386907579575,False,True
"[[0.0001372329426770014, 0.9998627640930454], [2.9642774867525723e-09, 4.698060838220737e-26]]",-9.9038079041837,1.3533256737524414e-56,-9.9038079041837,False,True
"[[0.00015342992074497165, 0.999846566373908], [3.7053468584407152e-09, 5.872576047775849e-26]]",-9.792228047623048,1.5130743083125738e-56,-9.792228047623048,False,True
"[[0.00017153839935524098, 0.999828456968961], [4.631683573050894e-09, 7.34072005971973e-26]]",-9.680647237183742,1.691681263420173e-56,-9.680647237183742,False,True
"[[0.00019178392719565186, 0.9998082102831998], [5.789604466313617e-09, 9.175900074649573e-26]]",-9.56906536026132,1.8913730999568228e-56,-9.56906536026132,False,True
"[[0.00021441865700570797, 0.9997855741059887], [7.237005581310509e-09, 1.282371019958097e-25]]",-9.457482291065858,2.9552983321797385e-56,-9.457482291065858,False,True
"[[0.00023972448129484786, 0.9997602664724481], [9.046256978615025e-09, 1.4337343866639718e-25]]",-9.345897888505505,2.3642635871556493e-56,-9.345897888505505,False,True
"[[0.0002680165366416025, 0.9997319721555372], [1.130782122079767e-08, 2.0037047186844934e-25]]",-9.234311995632766,3.6942053935635636e-56,-9.234311995632766,False,True
"[[0.00029964712086205696, 0.9997003387443613], [1.4134776529085974e-08, 2.240209979162426e-25]]",-9.122724436042212,2.955403256811205e-56,-9.122724436042212,False,True
"[[0.00033501006991127995, 0.999664972261618], [1.7668470661357466e-08, 2.800262473953017e-25]]",-9.011135013314355,3.3042899713310714e-56,-9.011135013314355,False,True
"[[0.00037454564994435707, 0.9996254322644673], [2.208558832669683e-08, 3.500328092441254e-25]]",-8.899543507358818,3.694369348479488e-56,-8.899543507358818,False,True
"[[0.00041874602350934915, 0.9995812263695052], [2.7606985408371037e-08, 4.375410115551548e-25]]",-8.787949672215532,4.130506566404515e-56,-8.787949672215532,False,True
"[[0.00046816135763286715, 0.9995318041336354], [3.4508731760463796e-08, 5.4692626444394125e-25]]",-8.676353232875758,4.618141820938318e-56,-8.676353232875758,False,True
"[[0.0005234066484635664, 0.9994765502156218], [4.313591470057974e-08, 6.836578305549241e-25]]",-8.564753881848972,5.163358387684567e-56,-8.564753881848972,False,True
"[[0.000585169345991856, 0.9994147767341148], [5.3919893375724676e-08, 8.545722881936523e-25]]",-8.453151275323641,5.7729587654112e-56,-8.453151275323641,False,True
"[[0.000654217872155717, 0.9993457147279775], [6.739986676900767e-08, 8.54572288519126e-25]]",-8.341545028507191,3.304729529402416e-56,-8.341545028507191,False,True
"[[0.0007314111343710958, 0.9992685046157955], [8.42498333995698e-08, 1.3352692003025744e-24]]",-8.229934712654863,7.216638337626206e-56,-8.229934712654863,False,True
"[[0.0008177091553441876, 0.9991821855323639], [1.0531229182657446e-07, 1.3352692008111287e-24]]",-8.118319845670023,4.13119345578497e-56,-8.118319845670023,False,True
"[[0.0009141849369721936, 0.9990856834226634], [1.3164036458569703e-07, 1.6185797813525682e-22]]",-8.006699891974204,4.212246800075882e-50,-8.006699891974204,False,True
"[[0.001022037718211508, 0.9989777977313329], [1.645504557321213e-07, 2.0232247266904231e-22]]",-7.895074248756096,4.709646901870298e-50,-7.895074248756096,False,True
"[[0.0011426077659995291, 0.9988571865459306], [2.0568806982316842e-07, 3.2599345710511803e-24]]",-7.783442244404316,1.1277930970462333e-55,-7.783442244404316,False,True
"[[0.001277392892856552, 0.998722349997056], [2.5711008746722274e-07, 3.259934572292776e-24]]",-7.671803127900056,6.456227383764758e-56,-7.671803127900056,False,True
"[[0.0014280668892154465, 0.9985716117231755], [3.2138760902846746e-07, 5.694871329877695e-24]]",-7.560156059793936,1.9704081055822352e-55,-7.560156059793936,False,True
"[[0.0015965000950673167, 0.9984030981704214], [4.017345112855843e-07, 7.118589162347109e-24]]",-7.448500099115048,2.2031380912754007e-55,-7.448500099115048,False,True
